Pclass,Sex,Fare,Embarked,Survived
3,male,7.25,S,0
1,female,71.2833,C,1
3,female,7.925,S,1
1,female,53.1,S,1
3,male,8.05,S,0
3,male,8.4583,Q,0
1,male,51.8625,S,0
3,male,21.075,S,0
3,female,11.1333,S,1
2,female,30.0708,C,1
3,female,16.7,S,1
1,female,26.55,S,1
3,male,8.05,S,0
3,male,31.275,S,0
3,female,7.8542,S,0
2,female,16,S,1
3,male,29.125,Q,0
2,male,13,S,1
3,female,18,S,0
3,female,7.225,C,1
2,male,26,S,0
2,male,13,S,1
3,female,8.0292,Q,1
1,male,35.5,S,1
3,female,21.075,S,0
3,female,31.3875,S,1
3,male,7.225,C,0
1,male,263,S,0
3,female,7.8792,Q,1
3,male,7.8958,S,0
1,male,27.7208,C,0
1,female,146.5208,C,1
3,female,7.75,Q,1
2,male,10.5,S,0
1,male,82.1708,C,0
1,male,52,S,0
3,male,7.2292,C,1
3,male,8.05,S,0
3,female,18,S,0
3,female,11.2417,C,1
3,female,9.475,S,0
2,female,21,S,0
3,male,7.8958,C,0
2,female,41.5792,C,1
3,female,7.8792,Q,1
3,male,8.05,S,0
3,male,15.5,Q,0
3,female,7.75,Q,1
3,male,21.6792,C,0
3,female,17.8,S,0
3,male,39.6875,S,0
3,male,7.8,S,0
1,female,76.7292,C,1
2,female,26,S,1
1,male,61.9792,C,0
1,male,35.5,S,1
2,female,10.5,S,1
3,male,7.2292,C,0
2,female,27.75,S,1
3,male,46.9,S,0
3,male,7.2292,C,0
1,female,80,S,1
1,male,83.475,S,0
3,male,27.9,S,0
1,male,27.7208,C,0
3,male,15.2458,C,1
2,female,10.5,S,1
3,male,8.1583,S,0
3,female,7.925,S,1
3,male,8.6625,S,0
2,male,10.5,S,0
3,female,46.9,S,0
2,male,73.5,S,0
3,male,14.4542,C,0
3,male,56.4958,S,1
3,male,7.65,S,0
3,male,7.8958,S,0
3,male,8.05,S,0
2,male,29,S,1
3,female,12.475,S,1
3,male,9,S,0
3,male,9.5,S,1
3,female,7.7875,Q,1
1,male,47.1,S,0
2,female,10.5,S,1
3,female,15.85,S,1
3,male,34.375,S,0
3,male,8.05,S,0
1,female,263,S,1
3,male,8.05,S,0
3,male,8.05,S,0
3,male,7.8542,S,0
1,male,61.175,S,0
3,male,20.575,S,0
3,male,7.25,S,0
3,male,8.05,S,0
1,male,34.6542,C,0
1,male,63.3583,C,1
2,female,23,S,1
2,male,26,S,0
3,female,7.8958,S,0
3,male,7.8958,S,0
1,male,77.2875,S,0
3,male,8.6542,S,0
3,male,7.925,S,0
3,male,7.8958,S,0
3,female,7.65,S,1
3,male,7.775,S,1
3,male,7.8958,S,0
3,female,24.15,Q,1
1,male,52,S,0
3,female,14.4542,C,0
3,male,8.05,S,0
3,female,9.825,S,0
3,female,14.4583,C,0
3,male,7.925,S,0
3,male,7.75,Q,0
2,male,21,S,0
1,male,247.5208,C,0
3,female,31.275,S,0
2,male,73.5,S,0
3,male,8.05,S,0
2,male,30.0708,C,0
2,female,13,S,1
1,male,77.2875,S,0
3,male,11.2417,C,1
3,male,7.75,Q,0
3,male,7.1417,S,1
3,female,22.3583,C,1
3,male,6.975,S,0
3,male,7.8958,C,0
3,male,7.05,S,0
3,female,14.5,S,0
2,female,26,S,1
2,male,13,S,0
2,male,15.0458,C,0
1,female,26.2833,S,1
1,male,53.1,S,0
3,male,9.2167,S,0
1,male,79.2,C,0
3,female,15.2458,C,0
3,female,7.75,S,1
3,female,15.85,S,1
3,male,6.75,Q,0
2,male,11.5,S,0
2,male,36.75,S,0
3,male,7.7958,S,1
3,female,34.375,S,0
2,male,26,S,0
2,male,13,S,0
2,male,12.525,S,0
1,female,66.6,S,1
3,male,8.05,S,0
3,male,14.5,S,0
3,male,7.3125,S,0
1,male,61.3792,C,0
3,female,7.7333,Q,1
3,male,8.05,S,0
3,male,8.6625,S,0
3,male,69.55,S,0
3,male,16.1,S,0
2,female,15.75,S,1
3,male,7.775,S,0
3,male,8.6625,S,0
3,male,39.6875,S,0
3,male,20.525,S,1
1,female,55,S,1
3,female,27.9,S,0
1,male,25.925,S,0
3,male,56.4958,S,0
1,male,33.5,S,0
3,male,29.125,Q,0
3,female,11.1333,S,1
3,male,7.925,S,0
1,male,30.6958,C,0
3,male,7.8542,S,0
3,male,25.4667,S,0
1,female,28.7125,C,0
2,male,13,S,0
3,male,0,S,0
3,female,69.55,S,0
2,male,15.05,C,0
3,male,31.3875,S,0
2,male,39,S,1
3,female,22.025,S,1
1,male,50,S,0
3,female,15.5,Q,1
1,male,26.55,S,1
3,male,15.5,Q,0
3,male,7.8958,S,0
2,female,13,S,1
2,male,13,S,0
3,female,7.8542,S,1
2,male,26,S,1
1,female,27.7208,C,1
1,female,146.5208,C,1
3,male,7.75,Q,0
3,male,8.4042,S,0
3,female,7.75,Q,1
2,female,13,S,0
3,male,9.5,S,0
3,male,69.55,S,0
3,male,6.4958,S,0
3,male,7.225,C,0
3,male,8.05,S,1
3,female,10.4625,S,0
3,male,15.85,S,0
3,male,18.7875,C,1
3,female,7.75,Q,1
1,male,31,C,1
3,male,7.05,S,0
2,female,21,S,1
3,male,7.25,S,0
2,male,13,S,0
3,male,7.75,Q,0
1,female,113.275,C,1
3,female,7.925,S,1
2,male,27,S,0
1,female,76.2917,C,1
2,male,10.5,S,0
3,male,8.05,S,1
2,male,13,S,0
3,male,8.05,S,0
3,male,7.8958,S,0
1,male,90,S,1
3,male,9.35,S,0
2,male,10.5,S,1
3,male,7.25,S,0
2,male,13,S,0
3,female,25.4667,S,0
1,female,83.475,S,1
3,male,7.775,S,0
2,male,13.5,S,0
3,female,31.3875,S,1
2,male,10.5,S,0
3,female,7.55,S,0
2,male,26,S,0
2,female,26.25,S,1
2,male,10.5,S,0
2,male,12.275,S,0
